,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Indicators On Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Household Employment Income Among Resident Employed Households, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Median Monthly Household Employment Income Including Employer CPF Contributions (Dollar),12027,11314,10882,10120,9544,9208,9442,9315,9044,8867,8673,8297,7882,7570,7040,6350,6012,6102,5370,4957,4839,4556,4617,4595,4719,4400
Real Change In Median Monthly Household Employment Income Including Employer CPF Contributions (Per Cent),5.4,1.4,2.7,0.2,1.6,-2.4,0.9,2.6,1.5,2.7,4.9,4,1.7,2.7,5.5,2.8,-2.3,6.6,6.2,1.4,5.6,-2.8,-0.1,-2.4,6.8,na
Median Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Dollar),3909,3621,3507,3291,3033,2891,2930,2799,2706,2591,2503,2383,2250,2129,1997,1850,1736,1756,1549,1448,1394,1333,1337,1321,1353,1237
Real Change In Median Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Per Cent),7,0.7,1.8,2.5,2.8,-1.2,4.2,3,3.9,4,5.4,4.7,3.2,1.8,2.7,3.7,-2,6.4,4.8,2.8,4,-1.8,0.6,-2.1,8.9,na
Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Dollar),1928,1774,1709,1625,1499,1398,1416,1360,1313,1282,1246,1167,1084,1021,972,890,824,832,747,702,667,653,641,638,660,628
Real Change In Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Per Cent),8,1,0.8,3.2,5.4,-1.2,3.8,3.3,2.5,4,7.9,6,3.4,-0.5,4.3,5.4,-3,3.3,4.3,3.4,0.8,-0.4,-0.6,-3.1,3.8,na
Average Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Dollar),5173,4907,4708,4487,4174,4030,4123,3977,3843,3694,3629,3421,3207,3145,2927,2711,2526,2589,2339,2129,2015,1918,1910,1884,1927,1736
  1st Decile (Lowest) (Dollar),811,748,706,690,597,560,597,570,554,543,541,494,463,440,422,381,357,365,335,317,297,300,301,303,317,315
  2nd Decile (Dollar),1630,1480,1422,1348,1225,1142,1180,1125,1094,1065,1041,971,896,856,803,738,683,689,620,585,557,541,542,538,556,537
  3rd Decile (Dollar),2225,2055,1990,1867,1714,1611,1649,1585,1529,1484,1447,1354,1268,1201,1123,1037,958,973,865,817,776,756,745,745,760,720
  4th Decile (Dollar),2849,2646,2567,2404,2215,2088,2134,2036,1961,1895,1858,1748,1634,1548,1446,1343,1243,1266,1116,1047,1004,968,960,956,974,911
  5th Decile (Dollar),3530,3287,3175,2983,2754,2608,2652,2527,2438,2343,2277,2157,2035,1918,1796,1670,1565,1582,1396,1303,1254,1199,1203,1192,1217,1120
  6th Decile (Dollar),4295,4002,3866,3642,3354,3208,3257,3090,3001,2869,2784,2630,2486,2357,2209,2054,1931,1956,1728,1610,1551,1478,1487,1470,1504,1366
  7th Decile (Dollar),5220,4913,4740,4459,4121,3950,4046,3813,3680,3529,3415,3220,3042,2896,2729,2543,2396,2449,2165,1993,1923,1830,1844,1819,1861,1670
  8th Decile (Dollar),6501,6110,5907,5593,5157,4984,5093,4845,4641,4449,4284,4065,3842,3663,3462,3236,3045,3125,2777,2551,2440,2318,2346,2306,2355,2094
  9th Decile (Dollar),8646,8200,7880,7510,6961,6728,6860,6575,6294,5974,5814,5530,5198,5008,4732,4434,4134,4274,3811,3506,3337,3181,3185,3147,3209,2822
  10th Decile (Highest) (Dollar),16024,15628,14828,14378,13647,13421,13761,13603,13237,12793,12829,12039,11207,11559,10550,9676,8951,9206,8577,7556,7010,6606,6492,6363,6511,5803
Real Change In Average Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Per Cent),4.5,1.8,0.1,1.3,1.2,-2.1,3.1,3,3.4,2.3,6.6,5.6,-0.4,2.7,2.6,4.4,-3,3.8,7.6,4.6,4.6,-1.2,0.9,-1.8,9.9,na
  1st Decile (Lowest) (Per Cent),7.8,3.1,-1.9,10,4.8,-6.1,4.4,2.7,2.1,1.4,10.7,5.1,2.4,-1.2,5.8,4.2,-4.2,1,3.6,4.8,-2.3,-2.5,-1.7,-4.2,-0.6,na
  2nd Decile (Per Cent),9.5,1.3,1.2,4.8,5.5,-3.2,4.6,2.6,2.8,3.4,8.4,6.7,1.9,1,3.9,5.5,-2.9,3.1,3.9,3.2,1.6,-2.4,-0.3,-3,2.2,na
  3rd Decile (Per Cent),7.4,0.8,1.8,2.9,4.3,-2.2,3.6,3.2,2.5,3,7.2,5.5,3.1,2.2,3.1,5.4,-2.4,5.6,3.8,4.2,2.1,0,-0.6,-1.7,5.1,na
  4th Decile (Per Cent),6.8,0.6,2,2.5,3.9,-2,4.3,3.4,3,2.5,6.6,5.7,3.1,2.3,2.5,5.2,-2.7,6.5,4.5,3.2,3.1,-0.7,-0.2,-1.6,6.5,na
  5th Decile (Per Cent),6.5,1,1.6,2.3,3.5,-1.5,4.5,3.2,3.5,3.4,5.9,4.8,3.6,2,2.4,3.9,-1.9,6.3,5,2.8,4,-1.8,0.3,-1.8,8.2,na
  6th Decile (Per Cent),6.4,1,1.4,2.6,2.4,-1.4,4.9,2.5,4.1,3.5,6.2,4.6,3,1.9,2.4,3.6,-2.1,6.2,5.2,2.7,4.3,-2.1,0.6,-2,9.7,na
  7th Decile (Per Cent),5.4,1.1,1.5,2.2,2.2,-2.2,5.6,3.2,3.8,3.8,6.4,4.6,2.6,1.4,2.1,3.3,-3,6.1,6.5,2.6,4.5,-2.2,0.8,-2,11,na
  8th Decile (Per Cent),5.5,0.9,0.8,2.5,1.4,-2,4.6,4,3.8,4.3,5.7,4.6,2.4,1.1,1.8,3.5,-3.4,5.6,6.7,3.5,4.7,-2.7,1.2,-1.8,12,na
  9th Decile (Per Cent),4.2,1.9,-0.2,1,0.6,-1.8,3.6,4,4.5,3.3,5.9,5.6,1.5,1.5,1,4,-3.1,5.6,6.3,4.6,5,-0.4,1.6,-1.2,13.9,na
  10th Decile (Highest) (Per Cent),1.4,3.2,-1.9,-1.3,-1.1,-2.3,0.4,2.3,2.6,0.3,7.3,6.6,-5.2,5.1,3.2,4.8,-2.6,1.1,11,7.3,6.2,1.4,2.5,-1.6,12.4,na
Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households (Dollar),1.8,0.5,0.7,1.3,1.7,1.9,3.7,4.2,3.5,3.4,3.4,3,1.2,2.1,3,3.4,3.5,3.8,3.2,1.4,2.4,na,na,na,na,na
  Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households In The 1st - 40th Percentiles (Dollar),3.6,1.6,2.2,2.5,2.3,2,4,4.4,4.3,4.1,4.2,3.7,2,2.4,2.9,2.9,2.3,2.7,1.6,0.3,0.4,na,na,na,na,na
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes,0.426,0.435,0.433,0.437,0.444,0.452,0.452,0.458,0.459,0.458,0.463,0.464,0.463,0.478,0.473,0.472,0.471,0.474,0.482,0.47,0.465,0.46,0.457,0.454,0.454,0.442
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.405,0.415,0.412,0.415,0.42,0.431,0.431,0.435,0.437,0.435,0.44,0.444,0.442,0.457,0.452,0.448,0.449,0.452,0.456,0.446,0.44,0.438,0.434,0.432,0.431,0.417
