month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,success_rate,cpi_motor_cars,cpi_private_transport,cpi_transport,rsi_motor_vehicles,rsi_petrol
2010-01-01,1,Category A,1152,1145.0,1342.0,18502,0.853204172876304,,53.26,58.387,111.33,96.609
2010-01-01,2,Category A,1151,1149.0,1673.0,20501,0.6867901972504483,,53.26,58.387,111.33,96.609
2010-02-01,1,Category A,1154,1153.0,1326.0,19989,0.8695324283559578,,53.569,58.597,83.308,88.902
2010-02-01,2,Category A,1148,1148.0,1493.0,20340,0.768921634293369,,53.569,58.597,83.308,88.902
2010-03-01,1,Category A,1148,1141.0,1758.0,20802,0.649032992036405,,54.307,59.217,96.62,98.156
2010-03-01,2,Category A,1146,1137.0,2183.0,28389,0.5208428767750801,,54.307,59.217,96.62,98.156
2010-04-01,1,Category A,705,597.0,1379.0,34001,0.43292240754169686,,56.639,61.167,79.475,96.915
2010-04-01,2,Category A,706,704.0,1242.0,30000,0.5668276972624798,,56.639,61.167,79.475,96.915
2010-05-01,1,Category A,806,798.0,1294.0,26102,0.616692426584235,,59.068,63.21,70.367,98.371
2010-05-01,2,Category A,699,697.0,1036.0,27389,0.6727799227799228,,59.068,63.21,70.367,98.371
2010-06-01,1,Category A,706,704.0,1107.0,30051,0.6359530261969286,,57.03,61.521,81.679,89.743
2010-06-01,2,Category A,699,697.0,902.0,31510,0.7727272727272727,,57.03,61.521,81.679,89.743
2010-07-01,1,Category A,700,676.0,893.0,29501,0.7569988801791714,,58.232,62.554,83.676,97.121
2010-07-01,2,Category A,699,691.0,967.0,36162,0.7145811789038262,,58.232,62.554,83.676,97.121
2010-08-01,1,Category A,622,589.0,786.0,32104,0.7493638676844784,,58.78,63.014,82.524,96.245
2010-08-01,2,Category A,606,606.0,975.0,29000,0.6215384615384615,,58.78,63.014,82.524,96.245
2010-09-01,1,Category A,631,628.0,775.0,33089,0.8103225806451613,,58.592,62.869,86.161,92.306
2010-09-01,2,Category A,597,547.0,993.0,30001,0.5508559919436052,,58.592,62.869,86.161,92.306
2010-10-01,1,Category A,601,601.0,722.0,33132,0.832409972299169,,59.186,63.362,81.412,95.579
2010-10-01,2,Category A,647,647.0,817.0,32415,0.791921664626683,,59.186,63.362,81.412,95.579
2010-11-01,1,Category A,598,598.0,843.0,34001,0.7093712930011863,,59.466,63.642,83.791,90.133
2010-11-01,2,Category A,597,577.0,833.0,39000,0.6926770708283313,,59.466,63.642,83.791,90.133
2010-12-01,1,Category A,598,582.0,1020.0,47604,0.5705882352941176,,61.384,65.268,91.085,95.363
2010-12-01,2,Category A,617,607.0,755.0,46129,0.8039735099337748,,61.384,65.268,91.085,95.363
2011-01-01,1,Category A,614,602.0,1192.0,38889,0.5050335570469798,,65.91,69.057,79.776,105.345
2011-01-01,2,Category A,607,606.0,1091.0,40123,0.5554537121906508,,65.91,69.057,79.776,105.345
2011-02-01,1,Category A,523,501.0,1146.0,37124,0.43717277486910994,,63.994,67.475,52.065,94.513
2011-02-01,2,Category A,511,494.0,788.0,42999,0.6269035532994924,,63.994,67.475,52.065,94.513
2011-03-01,1,Category A,532,530.0,875.0,42600,0.6057142857142858,,63.548,67.101,81.824,110.965
2011-03-01,2,Category A,527,472.0,927.0,43813,0.5091693635382956,,63.548,67.101,81.824,110.965
2011-04-01,1,Category A,512,511.0,813.0,43212,0.6285362853628537,,64.91,68.28,81.242,112.589
